Vacancy count analized,69
Lower border normalize salary,50000
Upper border normalize salary,200000
Average junior salary (1-3 year exp),128772
**************************************
Name,Salary
Junior разработчик Python/Стажер (удаленно),50000
Fullstack-разработчик,52200
Backend-разработчик на языке Python,52200
Python-разработчик,52200
Python-разработчик,52200
Python разработчик,55000
Python-разработчик,55000
Python разработчик (Django),70000
Программист Python,75000
Python/Django Junior Backend-разработчик,75000
Python-разработчик (Junior-Middle),77000
Junior Node.js developer,77000
Младший программист-разработчик,78300
Стажер Python-разработчик,80000
Python разработчик (офис),85000
Автор студенческих работ по Программированию (удалённо),88000
Инженер-разработчик,88000
Python разработчик (уровень Middle+),90000
Автор студенческих работ по программированию,90000
Junior+ Python разработчик,95000
WEB-разработчик,95700
Junior Backend разработчик (Python),99000
Junior Python разработчик (удаленно),100000
"Младший Python-разработчик (Django, DRF)",100000
Junior Go разработчик,100000
"Автор студенческих работ (IT, программирование)",110000
Python-разработчик (Python-программист)(01050-1),110000
Fullstack (Python + React) Python разработчик,110000
Python-разработчик,110000
Python разработчик,115000
"Разработчик Python, Django",120000
Middle Backend Python разработчик,125000
Python-API разработчик,125000
Python-разработчик (Офис / Гибрид),126150
Разработчик (Backend developer / Python),132000
Python разработчик (В отдел аналитики),132000
Middle Python-разработчик (Инженер-программист 2 категории)(01050-1),143000
Backend Middle Developer / Python разработчик,150000
Разработчик (Python/JavaScript),150000
Разработчик чат-бота в Telegram,150000
Python-разработчик,150000
Python (Django) Разработчик,152250
Python Web3 разработчик,152250
Middle Python разработчик (удаленно),155000
Инженер данных,155000
Software Developer (Golang),160000
Middle NodeJS developer,160000
"Backend-разработчик (Django, Postgresql)",160950
Программист Python (Отдел разработки и интеграции CRM-систем),162690
Backend-разработчик,165000
Python-разработчик (Junior),165000
Python Backend Developer Middle,165000
Middle Golang Backend developer,170000
Golang-разработчик в высоконагруженный сервис,170000
"Middle Backend разработчик Python/Django в НОЦ ""Новые транспортные технологии"" РУТ (МИИТ)",174000
Backend Developer Golang,174000
Software Developer Python,175000
Программист Python,176000
Middle Python backend разработчик,176000
Middle Python backend developer (FastAPI),180000
Go-разработчик,185000
Middle Python Backend Developer,190000
Middle Backend разработчик (Python),191400
Python-разработчик Middle+/Senior,191400
Full-stack разработчик (Django + Vue или React),191400
Программист,198000
Fullstack-разработчик (Strong junior/Middle),200000
Серверный программист Go,200000
Backend Developer,200000
