Vacancy count analized,115
Lower border normalize salary,50000
Upper border normalize salary,200000
Average junior salary (1-3 year exp),113364
**************************************
Name,Salary
Junior разработчик Python/Стажер (удаленно),50000
Backend-разработчик на языке Python,52200
Программист PHP,52500
Full-stack разработчик,55000
Разработчик Python,55000
Junior Python разработчик,55000
Верстальщик,55000
Программист C++ Junior,55000
Учитель программирования,57500
Тестировщик устройств Яндекса с Алисой,58290
Community manager / Комьюнити-менеджер в сообщество по маркетплейсам,60000
Менеджер по маркетплейсам на Wildberries и Ozon,60900
Программист-стажер 1С Документооборот,65250
Секретарь на ресепшен,66990
Наставник по Python,69600
Backend-разработчик,69600
Python разработчик (Django),70000
HR менеджер / рекрутер,70000
Backend-разработчик,71775
Асессор-разработчик в техническую команду Крауда,73500
Офис-менеджер,73950
Python/Django Junior Backend-разработчик,75000
Продавец-консультант в салон связи (Москва),77000
Junior Node.js developer,77000
Junior GO Developer,77000
Младший специалист отдела разработки (Python) / Специалист по парсингу данных,77000
HTML-верстальщик,77000
Junior 1С разработчик,77000
Специалист отдела закупок и продаж/Специалист по документообороту,78735
Project Manager / Менеджер проектов,80000
Fullstack-разработчик,80910
Python разработчик (офис),85000
Офис-менеджер/Ассистент Руководителя (декретная ставка),86130
Администратор проектов,86130
Инженер-разработчик,88000
Рекрутер,88000
Тестировщик ПО,88000
Python разработчик (уровень Middle+),90000
Автор студенческих работ по программированию,90000
Офис-менеджер,90000
Junior+ Python разработчик,95000
WEB-разработчик,95700
Тестировщик (Playwright),95700
Аналитик (закупки госорганизация),96135
Офис-менеджер (помощник руководителя),99000
Backend разработчик,99000
Офис-менеджер,99000
Менеджер по работе с партнерами,100000
Тайный покупатель,100000
SMM-менеджер в международную онлайн-школу,100000
Менеджер контроля качества,100000
"Контент-менеджер/стажер (YouTube, Нью-Йорк)",100000
React Frontend-разработчик (на верстку креативных сайтов),100000
Маркетолог,100050
Тестировщик,102500
Инженер-программист Python (01050-1),104500
"Автор студенческих работ (IT, программирование)",110000
Python-разработчик (Python-программист)(01050-1),110000
Помощник/ассистент руководителя,110000
HR менеджер / Рекрутер,110000
PHP-программист (Symfony),110000
QA engineer / тестировщик (middle),110000
Юрист,110000
Офис-менеджер/Секретарь,110000
Frontend-разработчик ReactJS,110000
Тестировщик (QA-engineer),110925
Маркетолог B2B,115000
Python-разработчик — Middle,115000
Python-разработчик — Middle,115000
"Разработчик Python, Django",120000
Фронтенд разработчик (в офисе),120000
Frontend-разработчик,121000
Помощник/ассистент руководителя,121800
Ассистент руководителя (проектно-строительная компания),124410
Менеджер проекта (градостроительство),125000
Менеджер по холодным продажам,125000
Python-разработчик,125000
Python-разработчик (Офис / Гибрид),126150
Персональный ассистент (помощник руководителя),130500
Руководитель проектов,130500
Backend-разработчик Python (Junior+),130500
Разработчик (Backend developer / Python),132000
Python разработчик (В отдел аналитики),132000
Python-разработчик,140000
Тестировщик мобильных приложений,140000
Middle Python-разработчик (Инженер-программист 2 категории)(01050-1),143000
Middle QA Manual,143000
Python-разработчик,143550
Golang - разработчик (Junior),150000
Backend-разработчик,150000
Бренд-менеджер (Автомобили),150000
QA Engineer \ Тестировщик,150000
Инженер данных,155000
Театральный менеджер,158500
Middle NodeJS developer,160000
"Backend-разработчик (Django, Postgresql)",160950
Сотрудник онлайн записей,161500
Python Backend Developer,165000
Python-разработчик (Junior),165000
Менеджер по продажам Корпоративный отдел (м. Автозаводская),165000
Менеджер по сопровождению клиентов,165000
Data Scientist/ML Engineer,165000
Backend-разработчик (Middle),170000
Software Developer Python,175000
Программист Python,176000
Middle Python backend разработчик,176000
Python Backend Developer (Middle),180000
"QA инженер (Москва, гибрид)",180000
Middle Python Backend Developer,190000
Бекенд-программист,198000
Backend Developer,200000
Python разработчик в инновационный криптопроект,200000
Fullstack-разработчик (Strong junior/Middle),200000
Frontend-разработчик,200000
Python-разработчик,200000
