Vacancy count analized,48
Lower border normalize salary,30000
Upper border normalize salary,150000
Average junior salary (1-3 year exp),100474
**************************************
Name,Salary
Backend-разработчик в стартап,30000
Стажер-разработчик (в отдел разработки высоконагруженных потоковых сервисов),34800
Программист Python,35000
Python разработчик (чат-боты),42500
Junior Python-разработчик,43500
Программист Python,43500
Backend junior разработчик,45000
Backend junior разработчик,45000
Python Developer (Наставник онлайн-курса),65000
Junior программист Python,66000
Python Разработчик,70000
Junior GO Developer,77000
Python разработчик (в офис),78300
Junior Backend Developer (Python и SQL),80000
Младший backend-разработчик,82500
Junior+ Python разработчик,85000
Разработчик Python,87500
Автор студенческих работ по Программированию (удалённо),88000
Data Engineer/Дата инженер (стажер),91350
Python developer,95000
Python developer,95000
Middle backend python developer (с опытом интеграций CRM),95000
Python разработчик,95700
Junior+ Backend Разработчик (Python),100000
Junior/Junior+ Golang Разработчик (Junior/Junior+ Go Backend Developer),100000
"Автор студенческих работ (IT, программирование)",110000
Backend-разработчик,110000
Python developer (в отдел системной разработки),110000
Python Developer (Backend & Qt),110000
Программист-разработчик,110000
Junior Python Django developer,120000
Программист Python (Junior),120000
Программист-разработчик,121000
"Backend разработчик (Middle-, Middle)",125000
Программист Node.js,130500
FullStack / BackEnd - разработчик JS | PHP | WP - JOOMLA | CMS | Python+Django,130500
Backend Python developer (middle/middle+) | Удалённая работа,135000
Middle Python backend разработчик,140000
Middle Python-разработчик (Инженер-программист 2 категории)(01050-1),143000
Golang разработчик (удаленно),143550
Intern Python Developer / Стажер Python-разработчик,143550
Python backend developer,150000
Middle Python backend developer (FastAPI),150000
Backend developer (Python),150000
Middle Fullstack программист / Middle Fullstack Developer,150000
Middle Fullstack программист / Middle Fullstack Developer,150000
Python developer,150000
Программист-аналитик,150000
