Vacancy count analized,61
Lower border normalize salary,50000
Upper border normalize salary,200000
Average junior salary (1-3 year exp),128735
**************************************
Name,Salary
Преподаватель Python в онлайн-школу (удаленно),63075
Python/Node.js Developer для проектов в сфере искусственного интеллекта (удаленно),65250
Python разработчик (Специалист по нейросетям)/чат-боты/API,65250
Специалист по разработке чат-ботов / IT / удаленно,66000
Преподаватель образовательных курсов для детей (Python),70000
Разработчик на ZennoPoster,72600
Автор студенческих работ по языкам программирования (удаленно),75000
Junior backend-developer,77000
Junior GO Developer,77000
Python-разработчик (Junior-Middle) по работе с данными в прайc-агрегатор good.sale,87000
Автор работ по программированию Python,90000
Data Engineer/Дата инженер (стажер),91350
Data Engineer/Дата инженер (стажер),91350
Data Engineer/Дата инженер (стажер),91350
Data Engineer / Дата инженер (стажер),91350
Data Engineer/Дата инженер (стажер),91350
Data Engineer/Дата инженер (ученик),91350
Python-разработчик,95700
Разработчик Python,95700
Junior+/Middle MedTech Project Manager в IT (WEB & ML),100000
PostgreSQL developer junior\ middle,100000
Python-разработчик (Python-программист)(01050-1),110000
Автор студенческих работ по программированию,110000
Python-разработчик/алгоритмист,112500
Python developer,115000
Junior Golang-разработчик,120000
Python-разработчик систем сбора,125000
Python-разработчик,126150
Преподаватель программирования (удаленно),130500
Преподаватель по программированию (удаленно),130500
Программист Perl,132000
Разработчик Node.js,139200
Python Developer / Data Engineer / Бэкенд разработчик,139200
FullStack-разработчик,140000
Middle Python-разработчик (Инженер-программист 2 категории)(01050-1),143000
FullStack Developer,143000
Аналитик-программист,143550
Python Fullstack программист (Junior) Digital Alliance,143550
Backend разработчик,143550
Backend разработчик,143550
Python-разработчик,143550
Middle Fullstack Developer | Разработчик ПО 2-ой категории,150000
"Программист разработчик Python (Full-stack, TelegramBot)",150000
Middle Python backend developer (FastAPI),150000
Разработчик (Python/JavaScript),150000
Backend Python,150000
Middle Python разработчик,155000
Backend разработчик Node.js,160000
Программист Python (Отдел разработки и интеграции CRM-систем),162690
Python Developer,165000
Senior Python Developer / Старший Python-разработчик,172260
Backend developer (Биллинг),174000
Backend Developer Golang,174000
Go-разработчик,185000
"Full-stack developer (Python, VueJS)",187000
Golang - разработчик,191400
Инженер программист Python,195000
Python-разработчик Middle,200000
Middle Golang-разработчик (гибрид),200000
Python разработчик (middle),200000
Golang - разработчик,200000
