Vacancy count analized,115
Lower border normalize salary,50000
Upper border normalize salary,200000
Average junior salary (1-3 year exp),109782
**************************************
Name,Salary
Начинающий преподаватель программирования (для детей 5-15 лет) / тьютор / учитель (очное обучение),50025
Стажер - аналитик (дирекция клиентской аналитики и мат.моделирования),52200
Junior Python разработчик,52500
Преподаватель Roblox в онлайн-школу программирования,55000
Преподаватель вводных уроков по программированию для детей младших классов (онлайн),55000
Инженер по разработке программного обеспечения,55000
Наставник детей в IT школу,56550
Преподаватель в онлайн-школу программирования,57420
Python-разработчик,57420
Учитель программирования,57500
Технический специалист,60000
Преподаватель старших классов в онлайн-школу программирования,60000
Специалист технической поддержки / Начинающий аналитик,60000
Python-разработчик,60000
PYTHON - Разработчик для написания автоматизаций и чат-ботов (удаленная работа),60000
Преподаватель по программированию / Педагог дополнительного образования,62000
Преподаватель младших классов в онлайн-школу программирования,62500
"Junior backend разработчик Node.js , JavaScript",66000
Python-разработчик / SEO,66000
Стажёр,69600
Наставник по Python,69600
Преподаватель в онлайн-школу,69600
Стажер Data scientist,69600
Разработчик backend JavaScript (Node.js),69600
Преподаватель образовательных курсов для детей (Python),70000
Преподаватель образовательных курсов для детей (Python),70000
Младший бэкенд разработчик (Python),70000
Системный аналитик (Junior),70000
Автор студенческих работ по языкам программирования (удаленно),75000
Python-разработчик,75000
Python/Django Junior Backend-разработчик,75000
Junior - разработчик,77000
Младший специалист отдела разработки (Python) / Специалист по парсингу данных,77000
Тьютор (преподаватель) в международную компанию KIBERone,78300
Junior Python разработчик,80000
Наставник Python,80000
Программист / разработчик,80000
Серверный программист Go,82650
Python разработчик (офис),85000
Backend/Fullstack TypeScript-разработчик,87000
Преподаватель IT-школы Алгоритмика - оффлайн,87000
Автор студенческих работ по Программированию (удалённо),88000
Junior Full-Stack Node.js developer,88000
Full-stack разработчик Python,88000
Junior Python Developer (микросервисная архитектура),90000
Дата аналитик (ученик),91350
Data Engineer/Дата инженер (ученик),91350
"Fullstack программист-разработчик WEB-приложений (NodeJS, React, PostgreSQL)",95000
Педагог по программированию в онлайн-школу Юайти,95000
Data Engineering Intern / Стажер дата-инженер,95700
WEB-разработчик,95700
Backend-разработчик Node.js,100000
FullStack-разработчик WEB,100000
Аналитик данных,100000
Младший backend-разработчик,100000
Инженер-программист Python (01050-1),104500
Python-разработчик,105000
Junior Developer,105000
Python-разработчик (Middle),107500
"Автор студенческих работ (IT, программирование)",110000
Автор студенческих работ (по техническим дисциплинам),110000
Инженер технической поддержки L3 (со знанием Python),110000
JavaScript разработчик,110000
Специалист по автоматизации и интеграции ИИ,110000
Python developer,110000
Backend разработчик Python,110000
Junior Python разработчик,110000
ML engineer по работе над AI agents,113100
Middle Node.js разработчик,114840
Главный специалист-разработчик,114840
Тестировщик ПО,115000
Аналитик (Главный специалист),115000
Python разработчик,115000
Python-разработчик,115000
Программист-аналитик,115000
Backend-разработчик,117450
Junior QA - инженер,120000
Программист (конструктор приложений с искусственным интеллектом),125000
Middle Backend разработчик NodeJS (офис/гибрид),125000
Prompt-engineer,125000
Auto QA Python (банковский проект),126150
Junior IT специалист | Системный аналитик,130000
Fullstack-разработчик в FirstVDS,130500
Junior ML/Data Science разработчик,132000
Python Backend Middle разработчик,135000
Ведущий специалист Отдела телефонных технологий,138765
Python-разработчик,140000
Геоаналитик,142500
Python-разработчик,142500
Python dev для разработки торговых алгоритмов,143550
Разработчик Go / Golang,145000
Python-API разработчик,145000
Python Backend Developer (Middle/Middle+),150000
"Python (Django) разработчик (Junior+) - удаленно, с периодическим приездом в офис (Москва)",150000
Backend-разработчик,150000
Инженер данных,155000
AI менеджер (внедрение Искусственного Интеллекта в процессы),155000
Fullstack разработчик(FAST протокол) фондовый рынок,165000
Golang-разработчик,165000
Middle Python developer,165000
Golang-разработчик,170000
Middle python-разработчик,174000
"Backend-разработчик (Python, Django, PostgreSQL)",175000
Middle backend python-разработчик в AI компанию,175000
Python Developer / Backend-разработчик,175000
Golang Developer (Москва),175800
Python-разработчик уровня Middle+,176000
Python разработчик,180000
Web-программист,195750
Backend-разработчик,200000
Backend-разработчик,200000
Backend-разработчик,200000
Fullstack-разработчик (Strong junior/Middle),200000
Python-разработчик,200000
Python-разработчик,200000
